,title,link,views,time,duration,img
0,Explore GeeksforGeeks Hiring Solutions | For Top Tech Companies | Innovative Hiring Solutions,/watch?v=GDeoPHRqb5w,476 views,3 days ago,2:51,https://i.ytimg.com/vi/GDeoPHRqb5w/hqdefault.jpg
1,Geek-O-Lympics 2023 | GeeksforGeeks,/watch?v=hLqJiIu6LzY,1.7K views,10 days ago,0:46,https://i.ytimg.com/vi/hLqJiIu6LzY/hqdefault.jpg
2,Web 3.0 Explained | GeeksforGeeks,/watch?v=zEPRJMk3p90,1.3K views,2 weeks ago,17:0,https://i.ytimg.com/vi/zEPRJMk3p90/hqdefault.jpg
3,Geek-O-Lympics 2023 | 1st - 31st July | GeeksforGeeks,/watch?v=GSqepfZLKU0,1.1K views,2 weeks ago,0:10,https://i.ytimg.com/vi/GSqepfZLKU0/hqdefault.jpg
4,What Is Web Scraping & What It Is Used For | How To Use Web Scraping | GeeksforGeeks,/watch?v=MK15a0ipg-E,977 views,2 weeks ago,2:47,https://i.ytimg.com/vi/MK15a0ipg-E/hqdefault.jpg
5,Mega Job-A-Thon | Hire Top Talent for Your Company | GeeksforGeeks,/watch?v=cWPqVVobUuA,993 views,2 weeks ago,0:56,https://i.ytimg.com/vi/cWPqVVobUuA/hqdefault.jpg
6,DSA To Development: A Complete Coding Guide | Complete Coding Program By GeeksforGeeks,/watch?v=phr8lXH2Ee0,22K views,3 weeks ago,0:43,https://i.ytimg.com/vi/phr8lXH2Ee0/hqdefault.jpg
7,What is Queue (Updated) | Queues Explained | GeeksforGeeks,/watch?v=ypJwoz_SXTo,819 views,3 weeks ago,8:50,https://i.ytimg.com/vi/ypJwoz_SXTo/hqdefault.jpg
8,Queue Practice Questions (Updated) | DSA Concepts | GeeksforGeeks,/watch?v=KG4dbF5xRig,961 views,4 weeks ago,12:1,https://i.ytimg.com/vi/KG4dbF5xRig/hqdefault.jpg
9,Free Summer Offline Classes on Python Programing | For Students Aged 14-21 | GeeksforGeeks,/watch?v=OOLXHwZzHfM,62K views,1 month ago,0:37,https://i.ytimg.com/vi/OOLXHwZzHfM/hqdefault.jpg
10,Python Libraries | Data Science | GeeksforGeeks,/watch?v=nDa75spDmeE,1.1K views,1 month ago,1:26,https://i.ytimg.com/vi/nDa75spDmeE/hqdefault.jpg
11,ITR Filing Made Simple | Documents require to file ITR | GeeksforGeeks,/watch?v=SWa-tsbaIpg,897 views,1 month ago,5:40,https://i.ytimg.com/vi/SWa-tsbaIpg/hqdefault.jpg
12,Full Stack Development | LIVE Classes | GeeksforGeeks,/watch?v=cBfC9HLR9Qk,43K views,1 month ago,0:35,https://i.ytimg.com/vi/cBfC9HLR9Qk/hqdefault.jpg
13,GeeksforGeeks Classroom Program in NCR,/watch?v=uEhnTpHY26o,2.3K views,1 month ago,0:37,https://i.ytimg.com/vi/uEhnTpHY26o/hqdefault.jpg
14,What is Arrays | Arrays Explained | New Video - GeeksforGeeks,/watch?v=3_x_Fb31NLE,2.1K views,1 month ago,9:48,https://i.ytimg.com/vi/3_x_Fb31NLE/hqdefault.jpg
15,Arrays Practice Questions (Updated) | In C++/JAVA/Python | GeeksforGeeks,/watch?v=J7EhXvnixRM,2.3K views,1 month ago,10:4,https://i.ytimg.com/vi/J7EhXvnixRM/hqdefault.jpg
16,Gate 2024: Prepare for Success! | GATE CSE 2024 | GeeksforGeeks,/watch?v=G-3vZKPEtKw,16K views,1 month ago,0:52,https://i.ytimg.com/vi/G-3vZKPEtKw/hqdefault.jpg
17,Get Started with CP | Competitive Programming Tips | GeeksforGeeks,/watch?v=FCEj-mreXvI,2.1K views,1 month ago,1:39,https://i.ytimg.com/vi/FCEj-mreXvI/hqdefault.jpg
18,React VS Angular VS Vue | GeeksforGeeks,/watch?v=sA2vgFR-fZc,2.3K views,2 months ago,1:35,https://i.ytimg.com/vi/sA2vgFR-fZc/hqdefault.jpg
19,GeeksforGeeks Classroom Program | Offline Classes in Noida,/watch?v=16D2cuRy5JY,54K views,2 months ago,0:38,https://i.ytimg.com/vi/16D2cuRy5JY/hqdefault.jpg
20,Transformers in NLP | GeeksforGeeks,/watch?v=-eqjV5dwb9Q,1.6K views,2 months ago,28:4,https://i.ytimg.com/vi/-eqjV5dwb9Q/hqdefault.jpg
21,Jobs that AI can't replace | GeeksforGeeks,/watch?v=uY05MFnSMwU,2.7K views,2 months ago,3:17,https://i.ytimg.com/vi/uY05MFnSMwU/hqdefault.jpg
22,Job Fair for Students | Till 25th May Only | GeeksforGeeks,/watch?v=1GEegOb3fHE,82K views,2 months ago,0:39,https://i.ytimg.com/vi/1GEegOb3fHE/hqdefault.jpg
23,"Flutter: ""Pros and Cons"" | GeeksforGeeks",/watch?v=0gnaXUiSELY,2.1K views,2 months ago,8:44,https://i.ytimg.com/vi/0gnaXUiSELY/hqdefault.jpg
24,Hire Best Talent with GeeksforGeeks,/watch?v=xifGlf39ahQ,14K views,2 months ago,0:54,https://i.ytimg.com/vi/xifGlf39ahQ/hqdefault.jpg
25,Tech Jobs without Degree | GeeksforGeeks,/watch?v=5jHvfzt8Ors,1.3K views,2 months ago,2:03,https://i.ytimg.com/vi/5jHvfzt8Ors/hqdefault.jpg
26,Start your writing Journey | Geek Author Badges | GeeksforGeeks,/watch?v=ISPOKldx90E,1.2K views,2 months ago,1:12,https://i.ytimg.com/vi/ISPOKldx90E/hqdefault.jpg
27,Presenting: GeeksforGeeks Author Badges | Honoring the Writer in You!,/watch?v=kW9BohViP04,1K views,2 months ago,0:56,https://i.ytimg.com/vi/kW9BohViP04/hqdefault.jpg
28,Create Your Own Apps Today | GeeksforGeeks,/watch?v=LycNCWC3g18,34K views,2 months ago,0:38,https://i.ytimg.com/vi/LycNCWC3g18/hqdefault.jpg
29,Top 10 DSA Topics | Master these To Ace In Your Career | GeeksforGeeks,/watch?v=t8aN8nczZlA,2.3K views,3 months ago,5:38,https://i.ytimg.com/vi/t8aN8nczZlA/hqdefault.jpg
30,Ernie vs ChatGPT | GeeksforGeeks,/watch?v=iM-EpJHn59Q,969 views,3 months ago,1:32,https://i.ytimg.com/vi/iM-EpJHn59Q/hqdefault.jpg
31,Rule the Coding World with Geek Summer Carnival | GeeksforGeeks,/watch?v=zLj3Qb9T2Q4,25K views,3 months ago,0:42,https://i.ytimg.com/vi/zLj3Qb9T2Q4/hqdefault.jpg
32,How to become a Full Stack Developer | GeeksforGeeks,/watch?v=uSx5XsCkX3c,4.5K views,3 months ago,11:5,https://i.ytimg.com/vi/uSx5XsCkX3c/hqdefault.jpg
33,Office Video Leaked 😰🤯,/watch?v=i_HlQl7Tg9Q,5.1K views,3 months ago,1:35,https://i.ytimg.com/vi/i_HlQl7Tg9Q/hqdefault.jpg
34,UI/UX Trends every Startup must know! | @thegeekmonk1707 |GeeksforGeeks,/watch?v=_E6_jZJAT3k,1K views,3 months ago,2:03,https://i.ytimg.com/vi/_E6_jZJAT3k/hqdefault.jpg
35,Age is Just a Number: The Story of a 14-Year-Old CEO | CodeCast | GeeksforGeeks,/watch?v=TASew4CmC9w,13K views,3 months ago,16:4,https://i.ytimg.com/vi/TASew4CmC9w/hqdefault.jpg
36,How to Use GPT 4 | How it's better from GPT 3 | GeeksforGeeks,/watch?v=Mnx3TAgbX7o,3.9K views,3 months ago,3:42,https://i.ytimg.com/vi/Mnx3TAgbX7o/hqdefault.jpg
37,Master DSA Today and be the Masters of Tomorrow,/watch?v=PsOXP5hg52w,55K views,3 months ago,0:25,https://i.ytimg.com/vi/PsOXP5hg52w/hqdefault.jpg
38,How to avoid getting Laid Off | ft. Dr. Sneha Sharma,/watch?v=s4frRcj17AM,1K views,3 months ago,31:3,https://i.ytimg.com/vi/s4frRcj17AM/hqdefault.jpg
39,Psychology of Deciding Your Career ft. Dhairya Gangwani | GeeksforGeeks,/watch?v=0oPyv39ynTo,833 views,3 months ago,19:2,https://i.ytimg.com/vi/0oPyv39ynTo/hqdefault.jpg
40,CodeCast Ep. 3 | Learn all About Competitive Programming | @PriyanshAgarwal  with Mr. Sandeep Jain,/watch?v=5uAFQqdS9oA,5.7K views,4 months ago,31:5,https://i.ytimg.com/vi/5uAFQqdS9oA/hqdefault.jpg
41,Advice for Women in Tech | ft. @PriyaVajpeyi,/watch?v=tn5BHjwAvTc,1.5K views,4 months ago,11:5,https://i.ytimg.com/vi/tn5BHjwAvTc/hqdefault.jpg
42,Roadmap to Amazon | Twinkle Bajaj - SDE at Amazon,/watch?v=nRbR9A_8nMQ,1.7K views,4 months ago,18:3,https://i.ytimg.com/vi/nRbR9A_8nMQ/hqdefault.jpg
43,Google Cloud X AMD and GeeksforGeeks Goes to Colleges With Some Fun Twist!,/watch?v=RQuaGniMRUU,1.4K views,4 months ago,1:05,https://i.ytimg.com/vi/RQuaGniMRUU/hqdefault.jpg
44,Solving For India Hackathon | @googlecloud X AMD | GeeksforGeeks,/watch?v=p0FQuaFLh0A,2.4K views,4 months ago,0:47,https://i.ytimg.com/vi/p0FQuaFLh0A/hqdefault.jpg
45,GeeksforGeeks Job Fair 2023,/watch?v=xIC1IFPod9Y,25K views,4 months ago,0:31,https://i.ytimg.com/vi/xIC1IFPod9Y/hqdefault.jpg
46,OpenAI's ChatGPT & GPT 4 | Google's BARD AI | Will AI Replace You?,/watch?v=2RcaFQzCgys,1.9K views,4 months ago,35:4,https://i.ytimg.com/vi/2RcaFQzCgys/hqdefault.jpg
47,Get Started With Machine Learning | GeeksforGeeks,/watch?v=RSVndjS2gMM,1.6K views,4 months ago,15:3,https://i.ytimg.com/vi/RSVndjS2gMM/hqdefault.jpg
48,🎊Celebrating Bi-Wizard's First Anniversary🎊 | Join the Best Young Coders in the World,/watch?v=D8aEoRbwC64,609 views,4 months ago,0:31,https://i.ytimg.com/vi/D8aEoRbwC64/hqdefault.jpg
49,"Meet Shikar Goel, CTO of GeeksforGeeks | Know His Journey",/watch?v=d2zk6YEqGsM,1.6K views,4 months ago,37:2,https://i.ytimg.com/vi/d2zk6YEqGsM/hqdefault.jpg
50,An Opportunity for Recruiters to Hire Top Tech Talent | Jobs Fair 2023 | GeeksforGeeks,/watch?v=RbQt5dz8Dws,1.7K views,4 months ago,0:26,https://i.ytimg.com/vi/RbQt5dz8Dws/hqdefault.jpg
51,A.I. Apps That Can Change Your Lives | GeeksforGeeks,/watch?v=kApRNheEJ8Q,2.8K views,4 months ago,3:30,https://i.ytimg.com/vi/kApRNheEJ8Q/hqdefault.jpg
52,Roadmap To Master Recursion? Roadmap To Master Recursion! | GeeksforGeeks,/watch?v=51JvvwqQmlQ,2.2K views,4 months ago,1:52,https://i.ytimg.com/vi/51JvvwqQmlQ/hqdefault.jpg
53,CodeCast Ep. 2 | SDE Without A Technical Degree? | GeeksforGeeks,/watch?v=XlcpYRp0ouc,1.8K views,5 months ago,6:55,https://i.ytimg.com/vi/XlcpYRp0ouc/hqdefault.jpg
54,The Art of Becoming a Successful Coder | GeeksforGeeks,/watch?v=jO2SyGwS4bA,6.7K views,5 months ago,15:0,https://i.ytimg.com/vi/jO2SyGwS4bA/hqdefault.jpg
55,Optimal Way to Get Started with DSA | GeeksforGeeks,/watch?v=-WLD1oY2dB4,6.9K views,5 months ago,2:41,https://i.ytimg.com/vi/-WLD1oY2dB4/hqdefault.jpg
56,Mistakes to Avoid in Your Next Job Interview | GeeksforGeeks,/watch?v=1uO3E57gPpE,1.5K views,5 months ago,1:02,https://i.ytimg.com/vi/1uO3E57gPpE/hqdefault.jpg
57,Master These Coding Practices For Your Placement Preparation | GeeksforGeeks,/watch?v=v_mlqwjlv00,5.4K views,5 months ago,3:58,https://i.ytimg.com/vi/v_mlqwjlv00/hqdefault.jpg
58,Correct Your Mistakes in 1 minute | Data Science | GeeksforGeeks,/watch?v=vNiiuh__7u0,1.2K views,5 months ago,0:46,https://i.ytimg.com/vi/vNiiuh__7u0/hqdefault.jpg
59,CodeCast Ep. 1 | Journey From A Vegetable Seller To A 10LPA+ Job | GeeksforGeeks,/watch?v=ksRDXChKN70,2.3K views,5 months ago,7:19,https://i.ytimg.com/vi/ksRDXChKN70/hqdefault.jpg
60,LIVE DSA Sessions By Everyone's Favorite Teacher!,/watch?v=qCioG1rwM6I,4.7K views,6 months ago,0:32,https://i.ytimg.com/vi/qCioG1rwM6I/hqdefault.jpg
61,GeeksforGeeks Resolution Days 2023 | Never Before Seen Offers!,/watch?v=mckeyuVM07g,7K views,6 months ago,0:26,https://i.ytimg.com/vi/mckeyuVM07g/hqdefault.jpg
62,The Top 5 DSA Fails (and How to Avoid Them!),/watch?v=jMjSpFObSKM,3.3K views,6 months ago,5:40,https://i.ytimg.com/vi/jMjSpFObSKM/hqdefault.jpg
63,GeeksforGeeks Now On iOS,/watch?v=bMDud1_-x1U,1.4K views,6 months ago,0:21,https://i.ytimg.com/vi/bMDud1_-x1U/hqdefault.jpg
64,"⛄ Merry Christmas, Geeks! ⛄ | Keep Coding Keep Learning | GeeksforGeeks",/watch?v=AESq1z0Okb0,1.3K views,6 months ago,0:15,https://i.ytimg.com/vi/AESq1z0Okb0/hqdefault.jpg
65,Student Success Story: Placed as an SDE at Byju's with Help from GeeksforGeeks,/watch?v=yvkQMMU076M,1.6K views,7 months ago,0:49,https://i.ytimg.com/vi/yvkQMMU076M/hqdefault.jpg
66,Service Based Test Series By GeeksforGeeks,/watch?v=84a0IXscfgE,1K views,7 months ago,1:05,https://i.ytimg.com/vi/84a0IXscfgE/hqdefault.jpg
67,India's Biggest Technical Content Writing Event is now LIVE 🔴 Participate Now | GeeksforGeeks,/watch?v=J63OOZzo-p8,796 views,7 months ago,0:41,https://i.ytimg.com/vi/J63OOZzo-p8/hqdefault.jpg
68,Landing SDE Role at Paytm | GeeksforGeeks,/watch?v=fyo53bLMyA4,1.5K views,7 months ago,2:50,https://i.ytimg.com/vi/fyo53bLMyA4/hqdefault.jpg
69,SDE at Paytm using GFG | GeeksforGeeks,/watch?v=RB1qpEZrcYo,1.3K views,7 months ago,0:44,https://i.ytimg.com/vi/RB1qpEZrcYo/hqdefault.jpg
70,Roadmap to a Career at Amazon | Preparation Strategies by Senior QAE | GeeksforGeeks,/watch?v=e_nnIOwhgzY,5.3K views,8 months ago,27:5,https://i.ytimg.com/vi/e_nnIOwhgzY/hqdefault.jpg
71,Happy Diwali | GeeksforGeeks presents office Diwali Party,/watch?v=mCvuYVwmU2Y,1.3K views,8 months ago,0:59,https://i.ytimg.com/vi/mCvuYVwmU2Y/hqdefault.jpg
72,Data Analysis Complete Roadmap | GeeksforGeeks,/watch?v=VIg0Ka5U3LA,3.2K views,8 months ago,6:01,https://i.ytimg.com/vi/VIg0Ka5U3LA/hqdefault.jpg
73,Roadmap to a Career at Microsoft | Preparation Strategies by Microsoft SDE | GeeksforGeeks,/watch?v=CyI0QuVWawQ,5K views,8 months ago,32:1,https://i.ytimg.com/vi/CyI0QuVWawQ/hqdefault.jpg
74,Geek Week 2022 |11th - 17th October | GeeksforGeeks,/watch?v=Aby3ldYnIQE,3.3K views,9 months ago,0:59,https://i.ytimg.com/vi/Aby3ldYnIQE/hqdefault.jpg
75,Happy Dussehra 🔥,/watch?v=WkzmnYyEoc8,1.6K views,9 months ago,0:12,https://i.ytimg.com/vi/WkzmnYyEoc8/hqdefault.jpg
76,Stay Tuned for a Big Surprise!!! | GeeksforGeeks,/watch?v=STVrifPDpVU,3.1K views,9 months ago,0:18,https://i.ytimg.com/vi/STVrifPDpVU/hqdefault.jpg
77,GeeksforGeeks Goes to Delhi Technological University | GfG X DTU,/watch?v=QqHMu9gwlno,1.7K views,9 months ago,1:24,https://i.ytimg.com/vi/QqHMu9gwlno/hqdefault.jpg
78,Roadmap to a CAREER AT WALMART | Preparation Strategies by Walmart SDE | GeeksforGeeks,/watch?v=AQHyMunhc_k,4.8K views,9 months ago,30:4,https://i.ytimg.com/vi/AQHyMunhc_k/hqdefault.jpg
79,Roadmap to Web Development | Everything About Web Development Ft. Prakash Sakari,/watch?v=PLdt7UobcoY,2.5K views,9 months ago,6:02,https://i.ytimg.com/vi/PLdt7UobcoY/hqdefault.jpg
80,Road Map of DSA for Web Development | Everything About Web Development Ft. Prakash Sakari,/watch?v=1b0P4IG7MIc,3.4K views,9 months ago,3:11,https://i.ytimg.com/vi/1b0P4IG7MIc/hqdefault.jpg
81,Biggest Coding Mistakes | Everything About Web Development Ft. Prakash Sakari | GeeksforGeeks,/watch?v=cAYfzY-9dao,2.2K views,10 months ago,8:29,https://i.ytimg.com/vi/cAYfzY-9dao/hqdefault.jpg
82,Overrated Topics in Web Development | Everything About Web Development Ft. Prakash Sakari,/watch?v=wnwAYPTf9Z8,1K views,10 months ago,2:44,https://i.ytimg.com/vi/wnwAYPTf9Z8/hqdefault.jpg
83,How Important is UI for Websites? | Everything About Web Development | GeeksforGeeks,/watch?v=imRxEskXGx8,861 views,10 months ago,3:57,https://i.ytimg.com/vi/imRxEskXGx8/hqdefault.jpg
84,Underrated Topics in Web Development | Everything About Web Development Ft. Prakash Sakari,/watch?v=MvxiK9tfjNw,916 views,10 months ago,3:46,https://i.ytimg.com/vi/MvxiK9tfjNw/hqdefault.jpg
85,Frameworks to Choose for Web Development | Everything About Web Development Ft. Prakash Sakari,/watch?v=UbFk-BTDnqM,1.1K views,10 months ago,2:28,https://i.ytimg.com/vi/UbFk-BTDnqM/hqdefault.jpg
86,What is Frontend and Backend? | Everything About Web Development Ft. Prakash Sakari | GeeksforGeeks,/watch?v=xJNtTqSj54M,1.8K views,10 months ago,2:21,https://i.ytimg.com/vi/xJNtTqSj54M/hqdefault.jpg
87,"Is HTML, CSS and Javascript Enough? | Everything About Web Development Ft. Prakash Sakari",/watch?v=EtZIUwvjzjI,2.8K views,10 months ago,3:00,https://i.ytimg.com/vi/EtZIUwvjzjI/hqdefault.jpg
88,Web Developers vs Website Builders | Everything About Web Development Ft. Prakash Sakari,/watch?v=s09kmxXbPOg,1.8K views,10 months ago,3:28,https://i.ytimg.com/vi/s09kmxXbPOg/hqdefault.jpg
89,Future of Web Development | Everything About Web Development Ft. Prakash Sakari | GeeksforGeeks,/watch?v=B40zC1_sJiE,4.3K views,10 months ago,3:01,https://i.ytimg.com/vi/B40zC1_sJiE/hqdefault.jpg
90,Web 3.0 Explained! Web 1.0 vs Web 2.0 vs Web3.0| Everything About Web Development Ft. Prakash Sakari,/watch?v=6ktny7tGepA,3.7K views,10 months ago,5:10,https://i.ytimg.com/vi/6ktny7tGepA/hqdefault.jpg
91,Job or Higher Studies? The BEST Choice After Graduation! Ft. Avinash Kumar | GeeksforGeeks,/watch?v=fYlESZ6SaCA,4K views,10 months ago,12:2,https://i.ytimg.com/vi/fYlESZ6SaCA/hqdefault.jpg
92,Capture Your Dream Job with Job-A-Thon | Monthly Hiring Challenges by GeeksforGeeks,/watch?v=m7mnwQKgpzw,2.9K views,10 months ago,0:51,https://i.ytimg.com/vi/m7mnwQKgpzw/hqdefault.jpg
93,Walmart Interview Experience 2022 | Walmart Interview Questions | GeeksforGeeks,/watch?v=eKzxoEG981g,9.3K views,10 months ago,21:3,https://i.ytimg.com/vi/eKzxoEG981g/hqdefault.jpg
94,How A Medical Aspirant Cracked FAANG? | Amazon Interview Experience | GeeksforGeeks,/watch?v=Dg4coPjDc6M,3K views,10 months ago,11:2,https://i.ytimg.com/vi/Dg4coPjDc6M/hqdefault.jpg
95,Refer And Earn | Referral Program By GeeksforGeeks,/watch?v=V6J24JJGhXc,2.1K views,11 months ago,1:14,https://i.ytimg.com/vi/V6J24JJGhXc/hqdefault.jpg
96,A++ Advice To Get Your Dream Job | GeeksforGeeks ft. @thegeekmonk1707,/watch?v=npPgivbw-9U,4.6K views,11 months ago,0:49,https://i.ytimg.com/vi/npPgivbw-9U/hqdefault.jpg
97,Dream Company Ka Sapna Ab Hoga Poora | GeeksforGeeks ft. @shashank_mishra,/watch?v=uDP13fwrhwI,5.5K views,11 months ago,0:43,https://i.ytimg.com/vi/uDP13fwrhwI/hqdefault.jpg
98,"GfG Karlo, Ho Jayega! | GeeksforGeeks ft. @itssiddharthsingh",/watch?v=KfFVWqHUjPo,5.9K views,11 months ago,0:36,https://i.ytimg.com/vi/KfFVWqHUjPo/hqdefault.jpg
99,Refer Your Friends: Learn And Earn Together | Refer & Earn | GeeksforGeeks,/watch?v=5G9xd86FPUg,1.3K views,11 months ago,0:37,https://i.ytimg.com/vi/5G9xd86FPUg/hqdefault.jpg
100,Job-A-Thon Exclusive: Hiring Challenge For Amazon Alexa | GeeksforGeeks,/watch?v=m1uCZUvw8Wg,3.7K views,11 months ago,0:41,https://i.ytimg.com/vi/m1uCZUvw8Wg/hqdefault.jpg
101,Presenting Coders Ka Dost | GeeksforGeeks Ft. @HarmanSinghYouTube,/watch?v=LawzObS9uww,7.7K views,11 months ago,0:28,https://i.ytimg.com/vi/LawzObS9uww/hqdefault.jpg
102,How To Crack FAANG Companies As A Tier-3 College Student? | GeeksforGeeks,/watch?v=bgCWuH4ZpM8,6.7K views,11 months ago,31:0,https://i.ytimg.com/vi/bgCWuH4ZpM8/hqdefault.jpg
103,Weekly Interview Series By GeeksforGeeks | Practice Interview Problems,/watch?v=1D7HZw9RQ9M,81K views,11 months ago,0:22,https://i.ytimg.com/vi/1D7HZw9RQ9M/hqdefault.jpg
104,THIS Will Make You RICH! | Make Money Sitting at Home | GeeksforGeeks,/watch?v=GgTKUySIzD0,6.3K views,11 months ago,6:11,https://i.ytimg.com/vi/GgTKUySIzD0/hqdefault.jpg
105,Geek-O-Lympics 2022 | GeeksforGeeks,/watch?v=G3T57IkE-PY,3.6K views,1 year ago,0:30,https://i.ytimg.com/vi/G3T57IkE-PY/hqdefault.jpg
106,How To Land A Consultancy Job Without An MBA?  Ft. Dhairya Gangwani | GeeksforGeeks,/watch?v=0bce9CP2uEo,6K views,1 year ago,32:4,https://i.ytimg.com/vi/0bce9CP2uEo/hqdefault.jpg
107,"DON'T Repeat These 5 Coding Mistakes! Ft. Prakash Sakari, Mentor - GeeksforGeeks",/watch?v=EHWtNSP2nWI,6.6K views,1 year ago,1:47,https://i.ytimg.com/vi/EHWtNSP2nWI/hqdefault.jpg
108,Delivery Hero Interview Experience 2022 | Delivery Hero Interview Questions | GeeksforGeeks,/watch?v=Rj1TxLy1fb8,3.9K views,1 year ago,16:2,https://i.ytimg.com/vi/Rj1TxLy1fb8/hqdefault.jpg
109,Geek-O-Lympics 2022 LIVE Now | GeeksforGeeks,/watch?v=wHwqqjHdX70,3.5K views,1 year ago,0:44,https://i.ytimg.com/vi/wHwqqjHdX70/hqdefault.jpg
110,Geek-O-Lympics 2022,/watch?v=jF_yK4XRk40,3.4K views,1 year ago,0:31,https://i.ytimg.com/vi/jF_yK4XRk40/hqdefault.jpg
111,"Not from tier 1 college? No problem! | GeeksforGeeks ft@TharunSpeaks  | GfG Karlo, Ho Jayega!",/watch?v=KOR03BBr9MY,8.7K views,1 year ago,0:32,https://i.ytimg.com/vi/KOR03BBr9MY/hqdefault.jpg
112,Spend Your Summer Vacations Wisely! Ft. Sandeep Sir | GeeksforGeeks,/watch?v=npoTmRqPjcU,9.5K views,1 year ago,5:29,https://i.ytimg.com/vi/npoTmRqPjcU/hqdefault.jpg
113,PayPal Interview Experience 2022 | PayPal Interview Questions | GeeksforGeeks,/watch?v=-S7R-NBIeI8,6.8K views,1 year ago,24:0,https://i.ytimg.com/vi/-S7R-NBIeI8/hqdefault.jpg
114,"Zabardast Gyaan | GeeksforGeeks ft. @IqlipseNova   | GfG Karlo, Ho Jayega!",/watch?v=p0n8lcCiR9Q,28K views,1 year ago,0:41,https://i.ytimg.com/vi/p0n8lcCiR9Q/hqdefault.jpg
115,Google Interview Experience 2022 | Google Interview Process | GeeksforGeeks,/watch?v=lmCJyfYsBHo,35K views,1 year ago,17:4,https://i.ytimg.com/vi/lmCJyfYsBHo/hqdefault.jpg
116,Happy Fathers Day | GeeksforGeeks,/watch?v=I0Nx2l2wiU4,2.2K views,1 year ago,1:01,https://i.ytimg.com/vi/I0Nx2l2wiU4/hqdefault.jpg
117,From One Aspirant To Another | GeeksforGeeks ft. Naveen Kasturia,/watch?v=rGCEvfeJD-w,3.3K views,1 year ago,0:26,https://i.ytimg.com/vi/rGCEvfeJD-w/hqdefault.jpg
118,"How to Prepare a Winning Resume in 5 Steps Ft. Prakash Sakari, Mentor - GeeksforGeeks",/watch?v=tUan6S_9Z9g,3.4K views,1 year ago,3:47,https://i.ytimg.com/vi/tUan6S_9Z9g/hqdefault.jpg
119,One Stop Destination To Succeed In The World Of Coding! | GeeksforGeeks ft. Mayur More,/watch?v=7_8wrRym7kU,33K views,1 year ago,0:36,https://i.ytimg.com/vi/7_8wrRym7kU/hqdefault.jpg
120,Hotstar Interview Experience 2022 | Hotstar Interview Process | GeeksforGeeks,/watch?v=a5WeFxOoo_E,8.1K views,1 year ago,18:2,https://i.ytimg.com/vi/a5WeFxOoo_E/hqdefault.jpg
121,"GeeksforGeeks Goes To Dronacharya College, Gurugram",/watch?v=iNfcO0aF7uI,1.5K views,1 year ago,1:03,https://i.ytimg.com/vi/iNfcO0aF7uI/hqdefault.jpg
122,BEST Opportunities For Women In Technology | Internships & Courses #shorts,/watch?v=rQfJyOhh0BM,2.7K views,1 year ago,0:20,https://i.ytimg.com/vi/rQfJyOhh0BM/hqdefault.jpg
123,GeeksforGeeks Goes To KIET Ghaziabad,/watch?v=wPSJUa6sPv0,2.9K views,1 year ago,1:02,https://i.ytimg.com/vi/wPSJUa6sPv0/hqdefault.jpg
124,Top 8 Reasons to Choose Java | GeeksforGeeks,/watch?v=ELHWRuATsTA,2.8K views,1 year ago,6:44,https://i.ytimg.com/vi/ELHWRuATsTA/hqdefault.jpg
125,Welcome Sandeep Jain at KIET Ghaziabad | GeeksforGeeks,/watch?v=UkW6L9uyKJQ,2.1K views,1 year ago,44:5,https://i.ytimg.com/vi/UkW6L9uyKJQ/hqdefault.jpg
126,How I got into Amazon as a SDE | GeeksforGeeks,/watch?v=PowHu7wwROQ,5.9K views,1 year ago,20:4,https://i.ytimg.com/vi/PowHu7wwROQ/hqdefault.jpg
127,What RBR has to say about GeeksforGeeks,/watch?v=iUCyZm58VGg,13K views,1 year ago,11:3,https://i.ytimg.com/vi/iUCyZm58VGg/hqdefault.jpg
128,From Tier 3 to Amazon | GeeksforGeeks,/watch?v=zpX1UQyqAWU,3.1K views,1 year ago,16:5,https://i.ytimg.com/vi/zpX1UQyqAWU/hqdefault.jpg
129,Interview Experience at Amazon | GeeksforGeeks,/watch?v=L7ZX63xFicw,3.4K views,1 year ago,20:0,https://i.ytimg.com/vi/L7ZX63xFicw/hqdefault.jpg
130,"A Brighter Future Awaits | GfG Karlo, Ho Jayega | GeeksforGeeks Ft. Urvi Singh",/watch?v=8IckHy8TJlw,26K views,1 year ago,0:19,https://i.ytimg.com/vi/8IckHy8TJlw/hqdefault.jpg
131,My interview experience at Walmart | GeeksforGeeks,/watch?v=L2HP_CyXRMs,2.1K views,1 year ago,27:0,https://i.ytimg.com/vi/L2HP_CyXRMs/hqdefault.jpg
132,How I got job offers from 2 big companies : Arcesium & Microsoft | GeeksforGeeks,/watch?v=v0jqqZmUNyY,2.7K views,1 year ago,23:5,https://i.ytimg.com/vi/v0jqqZmUNyY/hqdefault.jpg
133,"GFG Karlo, Ho Jayega | GeeksforGeeks ft. Khaleel Ahmed",/watch?v=b2yIeIj3Jrc,40K views,1 year ago,0:25,https://i.ytimg.com/vi/b2yIeIj3Jrc/hqdefault.jpg
134,Complete Interview Preparation Course | GeeksforGeeks,/watch?v=1REko14HjD8,7.4K views,1 year ago,0:45,https://i.ytimg.com/vi/1REko14HjD8/hqdefault.jpg
