,title,link,views,time,duration,img
623,Machine Learning Foundation With Python | GeeksforGeeks,/watch?v=pnvpajr1i6U,2.3K views,3 years ago,1:42,https://i.ytimg.com/vi/pnvpajr1i6U/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAaQqKQNWtMk7zfohePp6qQyQJmNg
624,"Guess the Output 8 | Tricky C codes for Beginners, Technical Interviews & Gate | GeeksforGeeks",/watch?v=9H-XyiPuBFE,10K views,3 years ago,3:51,https://i.ytimg.com/vi/9H-XyiPuBFE/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBk1RYz4h7VglCW6-1NpYevt76-Mw
625,"Guess the Output 7 | Tricky C codes for Beginners, Technical Interviews & Gate | GeeksforGeeks",/watch?v=yjBeHK2pQ14,11K views,3 years ago,4:17,https://i.ytimg.com/vi/yjBeHK2pQ14/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDjAXc1WjXPAzfKZgqZtjY-oG46JQ
626,"Guess the Output 6 | Tricky C codes for Beginners, Technical Interviews & Gate | GeeksforGeeks",/watch?v=CAGJ8MK28QM,12K views,3 years ago,3:02,https://i.ytimg.com/vi/CAGJ8MK28QM/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDd9NEPBQhlaOqBM3Ic4l2Q_jlKGQ
627,"Guess the Output 5 | Tricky C codes for Beginners, Technical Interviews & Gate | GeeksforGeeks",/watch?v=e3FoQCtdLOI,14K views,3 years ago,4:58,https://i.ytimg.com/vi/e3FoQCtdLOI/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBcFJsUfc0W8ktZZ_P9EAIyYv3ocw
628,"Guess the Output 4 | Tricky C codes for Beginners, Technical Interviews & Gate | GeeksforGeeks",/watch?v=YXr9NvvD61s,14K views,3 years ago,3:37,https://i.ytimg.com/vi/YXr9NvvD61s/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD-QGWVnC8Q1cAToJDJ_jyUqjnROg
629,Java Backend | Demo Live Lecture | GeeksforGeeks,/watch?v=8RjmaykLkBc,27K views,3 years ago,6:56,https://i.ytimg.com/vi/8RjmaykLkBc/hqdefault.jpg?sqp=-oaymwE2CNACELwBSFXyq4qpAygIARUAAIhCGAFwAcABBvABAfgB_gmAAtAFigIMCAAQARhGIGUoRjAP&rs=AOn4CLBgfSvFCJT8C78jEU8qXnIkKGqX4A
630,"Guess the Output 3 | Tricky C codes for Beginners, Technical Interviews & Gate | GeeksforGeeks",/watch?v=PJIGn34njbA,16K views,3 years ago,5:33,https://i.ytimg.com/vi/PJIGn34njbA/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCtreudEhE0RUcnrZXtPUxb6wqzjw
631,K stacks in a single array | GeeksforGeeks,/watch?v=S5cYO9k1Ja8,26K views,3 years ago,12:0,https://i.ytimg.com/vi/S5cYO9k1Ja8/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBGdrrmtsmzdhrJ_XCbEEFFVUUP_w
632,Why are Data Structures necessary - by Sandeep Jain | GeeksforGeeks,/watch?v=V5he1JXiQbg,48K views,3 years ago,3:06,https://i.ytimg.com/vi/V5he1JXiQbg/hqdefault.jpg?sqp=-oaymwE2CNACELwBSFXyq4qpAygIARUAAIhCGAFwAcABBvABAfgB_gmAAtAFigIMCAAQARgvID0ofzAP&rs=AOn4CLC7X9uM5Mqrz-L9D6SPG5xzFek8CA
633,"Guess the Output 2 | Tricky C codes for Beginners, Technical Interviews & Gate | GeeksforGeeks",/watch?v=2XZCu-IlDx4,21K views,3 years ago,4:20,https://i.ytimg.com/vi/2XZCu-IlDx4/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCT8pUhAm_dkeTo0pbraeBD5jzfbA
634,Machine Learning Foundation | GeeksforGeeks,/watch?v=TgzmIZs7koA,9K views,3 years ago,2:06,https://i.ytimg.com/vi/TgzmIZs7koA/hqdefault.jpg?sqp=-oaymwE2CNACELwBSFXyq4qpAygIARUAAIhCGAFwAcABBvABAfgB_gmAAtAFigIMCAAQARhlIGUoZTAP&rs=AOn4CLDQ98wZJYGlHHvZNDuMbO6CeeuWLg
635,"Guess the Output 1 | Tricky C codes for Beginners, Technical Interviews & Gate | GeeksforGeeks",/watch?v=DWDxKHhEn6g,40K views,3 years ago,2:49,https://i.ytimg.com/vi/DWDxKHhEn6g/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCh3N6cqyKDZuEib_LCoJWhvOPKSA
636,Design a stack with operations on middle element | GeeksforGeeks,/watch?v=GWericrOYw0,9.2K views,3 years ago,11:5,https://i.ytimg.com/vi/GWericrOYw0/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDJZZY1ezGurxqcnZAKNFhDAaR3Eg
637,Longest Consecutive Subsequence | GeeksforGeeks,/watch?v=rmscV-OsLNQ,15K views,3 years ago,8:27,https://i.ytimg.com/vi/rmscV-OsLNQ/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDyXdFDqQ6x-TvqGzWt9k-SpDxTBw
638,Build original array from the given sub-sequences | GeeksforGeeks,/watch?v=2guKcYv69As,1K views,3 years ago,16:3,https://i.ytimg.com/vi/2guKcYv69As/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLArE2vkDz--6frrL9_pLbfpGZR8ng
639,Union and Intersection of Two Linked Lists | GeeksforGeeks,/watch?v=2DZL9Ogm1Cg,11K views,3 years ago,7:31,https://i.ytimg.com/vi/2DZL9Ogm1Cg/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBW3ML-anmAutr2uDVCvAPJQLRUAw
640,19 (3).First Normal Form | GeeksforGeeks,/watch?v=-JOpBzyrZ_8,21K views,3 years ago,4:44,https://i.ytimg.com/vi/-JOpBzyrZ_8/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC056_usNm6fcPnLrqdryw3wnsUmw
641,18. Minus in SQL (Top 50 SQL Interview Questions) | GeeksforGeeks,/watch?v=gr0sOah50JU,20K views,3 years ago,2:56,https://i.ytimg.com/vi/gr0sOah50JU/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBljqo7hxWxyF8r0ihPZIx4Gwy9hw
642,17. Intersect in SQL (Top 50 SQL Interview Questions) | GeeksforGeeks,/watch?v=Ulu-P55RpDA,20K views,3 years ago,4:01,https://i.ytimg.com/vi/Ulu-P55RpDA/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAZZ4-7diAjDID9FIukkPqPh6JgTA
643,16. Nth highest salary (Top 50 SQL Interview Questions) | GeeksforGeeks,/watch?v=orEkHRYo6jU,55K views,3 years ago,4:36,https://i.ytimg.com/vi/orEkHRYo6jU/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDInvrwMX__OCoreQj_iEv8tBAMAw
644,15. Display 1st or last n rows (Top 50 SQL Interview Questions) | GeeksforGeeks,/watch?v=iej8RmXSqm8,36K views,3 years ago,6:04,https://i.ytimg.com/vi/iej8RmXSqm8/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD4W2sDT8wCZLyDKunL6nySZbqXGw
645,14. Cross Join (Top 50 SQL Interview Questions) | GeeksforGeeks,/watch?v=Ck3FXQW2AYw,29K views,3 years ago,5:25,https://i.ytimg.com/vi/Ck3FXQW2AYw/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDl7ekIzUX2jNUDpvYaNyIJGwguXw
646,Banker's Algorithm in Operating Systems,/watch?v=hjGD08xfg9c,16K views,3 years ago,14:2,https://i.ytimg.com/vi/hjGD08xfg9c/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDNhU07-DhmNlarIsPb0wMX--M-nA
647,13.  Full Join (Top 50 SQL Interview Questions) | GeeksforGeeks,/watch?v=WmqAKSBupsE,23K views,3 years ago,6:30,https://i.ytimg.com/vi/WmqAKSBupsE/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC6jXpF1nCeDLPjTPpQq03h3Tf9Fw
648,12. Right Join (Top 50 SQL Interview Questions) | GeeksforGeeks,/watch?v=JOAe-yua6Jw,21K views,3 years ago,4:16,https://i.ytimg.com/vi/JOAe-yua6Jw/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDqYj-p5aUuqMto9don3f4du8ygUg
649,11. Left Join (Top 50 SQL Interview Questions) | GeeksforGeeks,/watch?v=LCbO2U3jzU0,32K views,3 years ago,3:07,https://i.ytimg.com/vi/LCbO2U3jzU0/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB4KbyG0Y6XkGWTiI2uYO4zISpZBA
650,10. Self Join (Top 50 SQL Interview Quesions)| GeeksforGeeks,/watch?v=-t6tjGtQ7-8,63K views,3 years ago,6:18,https://i.ytimg.com/vi/-t6tjGtQ7-8/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCKKWcq0QXntG60yeCm9t5DV22AGA
651,Inner Join (Top 50 SQL Interview Questions)| GeeksforGeeks,/watch?v=zGYLUogRe-M,59K views,3 years ago,6:52,https://i.ytimg.com/vi/zGYLUogRe-M/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCQj0w2oYV6p0ecZ2Gq768ypID09Q
652,8. union vs uninonall (Top 5 SQL Interview Questions)| GeeksforGeeks,/watch?v=zBHjXTbnJIE,38K views,3 years ago,4:53,https://i.ytimg.com/vi/zBHjXTbnJIE/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD6RYXm2wRmYqslhwrZR6kPh5cs5Q
